sku,name,brand,category,price,short_description,long_description,attributes
SKU-0001,Sony WH-1000XM5,Sony,Headphones,379.0,Class-leading noise cancellation with all-day comfort.,"Presented by Fnac.fr. Sony's WH-1000XM5 pair adaptive noise cancellation with a light, refined design for travel and focused work. Up to 30 hours of battery, crisp hands-free calls, and multipoint Bluetooth make them an easy everyday choice.","{""color"": ""Black"", ""connectivity"": ""Bluetooth"", ""noise_cancellation"": ""Yes"", ""battery_life_hours"": 30, ""weight_g"": 250}"
SKU-0002,Bose QuietComfort Ultra,Bose,Headphones,449.0,Immersive audio and deep noise cancellation for travel.,"Presented by Fnac.fr. The QuietComfort Ultra deliver Bose's signature noise cancellation with spatial audio for a wider soundstage. A plush fit and clear call quality suit long flights and busy commutes, with around 24 hours of wireless playback.","{""color"": ""Black"", ""connectivity"": ""Bluetooth"", ""noise_cancellation"": ""Yes"", ""battery_life_hours"": 24, ""weight_g"": 254}"
SKU-0003,Sennheiser Momentum 4 Wireless,Sennheiser,Headphones,299.0,Refined sound and very long battery life.,"Presented by Fnac.fr. The Momentum 4 Wireless focus on natural, detailed audio with adaptive noise cancellation for daily listening. With up to 60 hours per charge, they are built for travellers and remote workers who want fewer top-ups.","{""color"": ""Black"", ""connectivity"": ""Bluetooth"", ""noise_cancellation"": ""Yes"", ""battery_life_hours"": 60, ""weight_g"": 293}"
SKU-0004,Apple AirPods Max,Apple,Headphones,549.0,Spatial audio and active noise cancellation for the Apple ecosystem.,Presented by Fnac.fr. AirPods Max combine active noise cancellation with spatial audio and seamless switching across Apple devices. A machined aluminium build and Digital Crown controls make them a comfortable pick for iPhone and Mac users.,"{""color"": ""Space Grey"", ""connectivity"": ""Bluetooth"", ""noise_cancellation"": ""Yes"", ""battery_life_hours"": 20, ""weight_g"": 384}"
SKU-0005,JBL Tour One M2,JBL,Headphones,249.0,"Adaptive noise cancellation with punchy, tunable sound.",Presented by Fnac.fr. The Tour One M2 offer adaptive noise cancellation and an app EQ for listeners who like to tune their sound. Up to 50 hours of battery and a foldable design make them practical for daily commuting.,"{""color"": ""Black"", ""connectivity"": ""Bluetooth"", ""noise_cancellation"": ""Yes"", ""battery_life_hours"": 50, ""weight_g"": 268}"
SKU-0006,Beats Studio Pro,Beats,Headphones,349.0,Active noise cancellation with cross-platform support.,"Presented by Fnac.fr. Beats Studio Pro deliver active noise cancellation and personalised spatial audio, with native pairing on both iOS and Android. USB-C lossless playback and around 40 hours of battery suit everyday listening and calls.","{""color"": ""Navy"", ""connectivity"": ""Wired + Bluetooth"", ""noise_cancellation"": ""Yes"", ""battery_life_hours"": 40, ""weight_g"": 260}"
SKU-0007,Audio-Technica ATH-M50xBT2,Audio-Technica,Headphones,199.0,Studio-style monitoring sound in a wireless design.,"Presented by Fnac.fr. The ATH-M50xBT2 bring the studio-monitor tuning of the M50x to a wireless headset for creators and home listeners. With about 50 hours of battery, multipoint pairing, and a wired option, they fit both work and play.","{""color"": ""Black"", ""connectivity"": ""Wired + Bluetooth"", ""noise_cancellation"": ""No"", ""battery_life_hours"": 50, ""weight_g"": 307}"
SKU-0008,Marshall Major V,Marshall,Headphones,149.0,Compact on-ear headphones with very long battery life.,Presented by Fnac.fr. The Major V keep Marshall's classic on-ear styling with wireless charging and over 100 hours of playback. A folding frame and the signature control knob make them a portable choice for casual listening.,"{""color"": ""Black"", ""connectivity"": ""Bluetooth"", ""noise_cancellation"": ""No"", ""battery_life_hours"": 100, ""weight_g"": 186}"
SKU-0009,Anker Soundcore Space One,Anker,Headphones,99.0,Affordable active noise cancellation for everyday use.,Presented by Fnac.fr. The Soundcore Space One bring adaptive active noise cancellation to a budget-friendly over-ear design. Around 40 hours of battery with cancellation on and a lightweight fit make them a value pick for commuting and study.,"{""color"": ""Blue"", ""connectivity"": ""Bluetooth"", ""noise_cancellation"": ""Yes"", ""battery_life_hours"": 40, ""weight_g"": 265}"
SKU-0010,Apple AirPods Pro 2 (USB-C),Apple,Wireless Earbuds,279.0,Active noise cancellation tuned for the Apple ecosystem.,Presented by Fnac.fr. AirPods Pro 2 offer adaptive noise cancellation and transparency mode with quick switching across Apple devices. The USB-C case adds water resistance and the buds deliver around 6 hours of listening per charge.,"{""color"": ""White"", ""noise_cancellation"": ""Yes"", ""battery_life_hours"": 6, ""water_resistance"": ""IP67"", ""case_charging"": ""USB-C + Wireless""}"
SKU-0011,Sony WF-1000XM5,Sony,Wireless Earbuds,319.0,Compact earbuds with strong noise cancellation.,"Presented by Fnac.fr. The WF-1000XM5 shrink Sony's noise cancellation into a smaller, lighter shell for travel and calls. Up to 8 hours of playback per charge, clear hands-free voice pickup, and a wireless-charging case round out the package.","{""color"": ""Black"", ""noise_cancellation"": ""Yes"", ""battery_life_hours"": 8, ""water_resistance"": ""IPX4"", ""case_charging"": ""USB-C + Wireless""}"
SKU-0012,Bose QuietComfort Ultra Earbuds,Bose,Wireless Earbuds,299.0,Deep noise cancellation with immersive audio.,Presented by Fnac.fr. The QuietComfort Ultra Earbuds combine class-leading cancellation with Bose's immersive spatial sound. A secure fit and around 6 hours of playback suit commuters who want quiet on the go.,"{""color"": ""Black"", ""noise_cancellation"": ""Yes"", ""battery_life_hours"": 6, ""water_resistance"": ""IPX4"", ""case_charging"": ""USB-C""}"
SKU-0013,Samsung Galaxy Buds3 Pro,Samsung,Wireless Earbuds,249.0,Adaptive noise cancellation tuned for Galaxy phones.,Presented by Fnac.fr. The Galaxy Buds3 Pro offer adaptive noise cancellation and 24-bit audio with tight Galaxy integration. About 7 hours of listening and a comfortable stem design make them a natural pick for Samsung users.,"{""color"": ""Silver"", ""noise_cancellation"": ""Yes"", ""battery_life_hours"": 7, ""water_resistance"": ""IPX7"", ""case_charging"": ""USB-C + Wireless""}"
SKU-0014,Sennheiser Momentum True Wireless 4,Sennheiser,Wireless Earbuds,299.0,Detailed sound with adaptive noise cancellation.,"Presented by Fnac.fr. The Momentum True Wireless 4 focus on natural, detailed audio with adaptive cancellation and a long-lasting case. Up to 7.5 hours per charge and a customisable app EQ appeal to listeners who value sound quality.","{""color"": ""Black"", ""noise_cancellation"": ""Yes"", ""battery_life_hours"": 7, ""water_resistance"": ""IPX4"", ""case_charging"": ""USB-C + Wireless""}"
SKU-0015,Jabra Elite 10 Gen 2,Jabra,Wireless Earbuds,229.0,Comfortable buds with spatial sound and reliable calls.,"Presented by Fnac.fr. The Elite 10 Gen 2 use a semi-open fit for comfort, with adaptive noise cancellation and Dolby spatial audio. Around 6 hours of playback and dependable call clarity make them a solid all-day choice.","{""color"": ""Titanium Black"", ""noise_cancellation"": ""Yes"", ""battery_life_hours"": 6, ""water_resistance"": ""IP67"", ""case_charging"": ""USB-C + Wireless""}"
SKU-0016,Google Pixel Buds Pro 2,Google,Wireless Earbuds,229.0,Active noise cancellation built for Pixel and Android.,Presented by Fnac.fr. The Pixel Buds Pro 2 add active noise cancellation and on-device features tuned for Android and Pixel phones. About 8 hours of playback and a lighter design make them comfortable for long listening sessions.,"{""color"": ""Hazel"", ""noise_cancellation"": ""Yes"", ""battery_life_hours"": 8, ""water_resistance"": ""IPX4"", ""case_charging"": ""USB-C + Wireless""}"
SKU-0017,Nothing Ear (a),Nothing,Wireless Earbuds,99.0,Bright design and noise cancellation at a low price.,Presented by Fnac.fr. The Nothing Ear (a) bring active noise cancellation and a distinctive transparent design to an affordable tier. Up to 9.5 hours of playback per charge and an app EQ make them a value-focused everyday option.,"{""color"": ""Yellow"", ""noise_cancellation"": ""Yes"", ""battery_life_hours"": 9, ""water_resistance"": ""IPX5"", ""case_charging"": ""USB-C""}"
SKU-0018,Anker Soundcore Liberty 4 NC,Anker,Wireless Earbuds,99.0,Adaptive noise cancellation with long battery life.,Presented by Fnac.fr. The Soundcore Liberty 4 NC pair adaptive cancellation with a secure fit for commuting and workouts. Up to 10 hours of listening per charge and a wireless-charging case make them a strong budget pick.,"{""color"": ""Black"", ""noise_cancellation"": ""Yes"", ""battery_life_hours"": 10, ""water_resistance"": ""IPX4"", ""case_charging"": ""USB-C + Wireless""}"
